Nr. factura,Predictie
37479,270.3059064534466
37493,60.006317604184694
37497,164.03611427328588
37505,4215.268196108768
37515,397.9256573218058
37520,152.84613630223177
37527,834.8448033928877
37528,102.76623390051944
37550,98.00624320377194
37615,284.00588002594486
37698,122.65619529563816
37636,108.50622298697431
37770,31.996372245729116
37804,396.295660495697
37846,122.65619529563816
37870,118.86620246137073
38064,0.006434879997755161
38133,1521.653460987477
38215,103.33623283401988
38237,43.506349642861984
38744,352.455746195283
38487,92.82625346657373
38488,1015.0244511542131
38493,140.00616139359786
38498,282.60588259578674
38505,495.4054665192655
38507,32.51637137204359
39105,238.00596971737204
38545,52.186332955455505
38553,423.63560683478846
38562,60.006317604184694
38642,26.586383112580325
38646,176.02609104528275
38651,8.726417944041703
38686,282.9758818290515
38687,83.0062727584711
38746,738.6349913725159
38778,251.22594391500627
38829,315.41581840244027
38831,18.486398789222804
38904,158.0061259279589
38906,136.9661670815955
38919,96.18624673316309
38969,102.40623472299023
38996,8.45641832514892
39119,95.4462482666336
39123,56.20632518567349
39124,126.00618850649197
39140,37.98636083960568
39167,558.0753443221901
39189,15.266404888455835
39212,71.00629593073864
39255,584.3052929614872
39266,78.00628261003747
39274,76.36628572819323
39358,117.45620544696885
39359,92.0062550256516
39364,346.0457585609557
39377,263.60591956024723
39381,359.65573210332576
39410,14.67640631497606
39411,253.025940274144
39439,31.30637358638561
39522,837.8747971776628
39489,138.00616533422442
39516,639.7951844963483
39519,196.04605175048835
39524,58.186321133575845
39527,140.21616067807733
39531,99.51624030403758
39541,300.3858477899327
39546,114.42621119070202
39557,64.12630944877465
39558,34.11636803094563
39582,918.4746395962912
39638,874.6947251587986
39666,561.2453379442793
39684,167.0461084180816
39688,158.60612502866599
39715,326.98579566249464
39742,66.25630528972671
39792,258.62592952328475
39845,357.35573625785287
39884,39.586357498507724
39914,391.83566911355723
39919,37.606361550605385
39950,1563.7833784873897
39980,1994.8425362176658
39992,64.40630912340298
39962,895.5046846092115
39977,595.2352713693841
39994,187.51606833094453
39995,25.50638510850097
39996,129.3261820216309
40106,906.4246634328646
40005,68.60630094238557
40013,258.02593042257763
40033,761.2149470148596
40067,351.5457477242327
40134,37.406361850369684
40153,87.04626462866842
40180,21.406392903890342
40183,637.5551889852887
40200,98.82624164469408
40207,226.30599267573902
40208,805.5148605786667
40254,51.36633451453338
40275,94.15625097807477
40278,44.54634789549091
40340,1076.194331441116
40413,61.00631563387142
