Nr. factura,Data factura,Baza impozitare,Valoare TVA,An factura,Predictie,Diferenta
39950,2020-04-08,1314.1,249.68,2020,1563.7833784873897,-0.00337848738968205
39980,2020-04-08,1676.34,318.5,2020,1994.8425362176658,-0.0025362176659200486
39992,2020-04-08,54.12,10.28,2020,64.40630912340298,-0.006309123402971295
39962,2020-04-14,752.52,142.98,2020,895.5046846092115,-0.004684609211494717
39977,2020-04-16,500.19,95.04,2020,595.2352713693841,-0.005271369384104219
39994,2020-04-21,157.57,29.94,2020,187.51606833094453,-0.006068330944543732
39995,2020-04-21,21.43,4.07,2020,25.50638510850097,-0.006385108500971626
39996,2020-04-21,108.67,20.65,2020,129.3261820216309,-0.006182021630905865
40106,2020-04-21,761.7,144.72,2020,906.4246634328646,-0.004663432864617789
40005,2020-04-22,57.65,10.95,2020,68.60630094238557,-0.006300942385578878
40013,2020-04-23,216.82,41.2,2020,258.02593042257763,-0.005930422577648642
40033,2020-04-24,639.67,121.54,2020,761.2149470148596,-0.004947014859567389
40067,2020-04-24,295.41,56.13,2020,351.5457477242327,-0.0057477242326626765
40134,2020-05-04,31.43,5.97,2020,37.406361850369684,-0.00636185036968584
40153,2020-05-05,73.14,13.9,2020,87.04626462866842,-0.0062646286684184815
40180,2020-05-06,17.98,3.42,2020,21.406392903890342,-0.0063929038903438595
40183,2020-05-06,535.76,101.79,2020,637.5551889852887,-0.005188985288782533
40200,2020-05-07,83.04,15.78,2020,98.82624164469408,-0.006241644694085835
40207,2020-05-08,190.17,36.13,2020,226.30599267573902,-0.005992675739008746
40208,2020-05-08,676.9,128.61,2020,805.5148605786667,-0.004860578666693982
40254,2020-05-11,43.16,8.2,2020,51.36633451453338,-0.00633451453337841
40275,2020-05-12,79.12,15.03,2020,94.15625097807477,-0.006250978074760383
40278,2020-05-12,37.43,7.11,2020,44.54634789549091,-0.006347895490911526
40340,2020-05-15,904.36,171.83,2020,1076.194331441116,-0.004331441115937196
40413,2020-05-19,51.26,9.74,2020,61.00631563387142,-0.006315633871416537
40445,2020-05-20,294.99,56.05,2020,351.04574870938933,-0.005748709389308715
40454,2020-05-21,212.7,40.41,2020,253.11594030427216,-0.005940304272144203
40459,2020-05-21,250.48,47.59,2020,298.07585236021606,-0.005852360216067609
40469,2020-05-21,470.13,89.33,2020,559.4653412251208,-0.005341225120787385
40470,2020-05-22,884.03,167.97,2020,1052.0043786126425,-0.004378612642540247
40474,2020-05-22,231.6,44.0,2020,275.60589638797967,-0.0058963879796465335
40531,2020-05-25,447.93,85.11,2020,533.0453929413236,-0.005392941323634659
40535,2020-05-25,71.35,13.56,2020,84.91626878771635,-0.0062687877163511985
40536,2020-05-25,198.72,37.76,2020,236.4859725613709,-0.005972561370896301
40539,2020-05-25,166.94,31.72,2020,198.66604655054823,-0.006046550548234109
40564,2020-05-25,77.31,14.69,2020,92.0062550256516,-0.006255025651597634
40576,2020-05-26,651.87,123.86,2020,775.7349185567882,-0.004918556788197748
40597,2020-05-27,285.34,54.21,2020,339.5557714237275,-0.005771423727480851
40598,2020-05-27,221.8,42.14,2020,263.9459190977971,-0.005919097797118411
40602,2020-05-27,216.82,41.2,2020,258.02593042257763,-0.005930422577648642
40699,2020-05-29,207.83,39.49,2020,247.32595141063135,-0.0059514106313542925
37675,2020-06-01,1604.39,304.84,2020,1909.2327031233763,-0.002703123376250005
40797,2020-06-01,265.84,50.51,2020,316.3558165692054,-0.005816569205364885
40801,2020-06-01,1626.05,308.95,2020,1935.0026529707725,-0.002652970772487606
40879,2020-06-01,138.46,26.31,2020,164.77611273981537,-0.006112739815364421
37676,2020-06-02,319.33,60.67,2020,380.0056922903456,-0.0056922903456211316
40822,2020-06-02,150.65,28.62,2020,179.27608464176464,-0.006084641764630305
40826,2020-06-02,58.26,11.07,2020,69.33629935317951,-0.006299353179514355
40828,2020-06-02,24.35,4.63,2020,28.9863781009334,-0.006378100933400077
40829,2020-06-02,34.04,6.47,2020,40.516355609537364,-0.006355609537365581
40849,2020-06-03,27.56,5.24,2020,32.806370630915694,-0.0063706309156970065
40852,2020-06-03,987.17,187.56,2020,1174.7341390026754,-0.004139002675401571
40899,2020-06-05,134.62,25.58,2020,160.20612168756804,-0.006121687568054313
40907,2020-06-06,584.22,111.0,2020,695.2250761682881,-0.005076168288042027
40925,2020-06-08,329.14,62.54,2020,391.68566922050746,-0.005669220507456885
37681,2020-06-09,165.29,31.41,2020,196.7060502426252,-0.006050242625207147
37685,2020-06-10,597.0,113.43,2020,710.43504636956,-0.00504636956009108
40970,2020-06-10,115.13,21.87,2020,137.00616730453768,-0.006167304537683549
40971,2020-06-10,20.95,3.98,2020,24.93638617500052,-0.006386175000521632
40978,2020-06-11,94.79,18.01,2020,112.80621442032887,-0.006214420328873871
40979,2020-06-11,139.3,26.47,2020,165.77611076950208,-0.006110769502072344
37687,2020-06-15,122.01,23.18,2020,145.19615118653164,-0.006151186531639041
41059,2020-06-15,40.76,7.74,2020,48.506340262787376,-0.00634026278737565
41061,2020-06-15,59.95,11.39,2020,71.34629546828852,-0.006295468288513462
41073,2020-06-15,598.37,113.69,2020,712.0650431956686,-0.005043195668690714
41513,2020-06-15,40.03,7.61,2020,47.646341598923044,-0.006341598923043534
41075,2020-06-16,756.29,143.7,2020,899.9946756870662,-0.004675687066196588
41090,2020-06-16,681.3,129.45,2020,810.7548501787863,-0.00485017878634153
37690,2020-06-17,264.7,50.29,2020,314.9958193619895,-0.005819361989495064
37691,2020-06-18,320.0,60.8,2020,380.8056906197966,-0.005690619796610008
37692,2020-06-18,34.6,6.57,2020,41.176354573165995,-0.006354573165992861
41139,2020-06-18,262.92,49.96,2020,312.8858231610168,-0.005823161016792255
41140,2020-06-18,262.92,49.96,2020,312.8858231610168,-0.005823161016792255
41163,2020-06-19,73.14,13.9,2020,87.04626462866842,-0.0062646286684184815
37693,2020-06-22,293.16,55.7,2020,348.86575306125127,-0.005753061251255076
41199,2020-06-22,76.99,14.63,2020,91.62625573665132,-0.0062557366513118495
37694,2020-06-23,810.0,153.9,2020,963.9045509713636,-0.00455097136364202
37695,2020-06-23,24.0,4.56,2020,28.566379060482667,-0.006379060482668564
37696,2020-06-23,52.61,10.0,2020,62.61631234850901,-0.006312348509013077
37697,2020-06-25,258.01,49.02,2020,307.03583487594614,-0.00583487594616372
41388,2020-06-26,614.24,116.71,2020,730.955006089609,-0.005006089608968978
41398,2020-06-26,52.32,9.94,2020,62.26631322671537,-0.00631322671537049
41530,2020-06-30,1076.54,204.54,2020,1281.083931157229,-0.003931157229089877
41531,2020-06-30,240.46,45.69,2020,286.15587550687627,-0.005875506876293457
41549,2020-06-30,399.42,75.89,2020,475.31550589540285,-0.005505895402848182
41577,2020-06-30,117.64,22.35,2020,139.9961613378623,-0.006161337862295113
12580,2020-07-01,1102.02,209.38,2020,1311.403871945401,-0.0038719454009878973
41575,2020-07-01,162.95,30.96,2020,193.91605590953628,-0.006055909536286208
41576,2020-07-01,181.7,34.52,2020,216.22601240447915,-0.006012404479150746
41978,2020-07-01,689.1,130.93,2020,820.0348321205953,-0.004832120595324341
41997,2020-07-01,864.83,164.32,2020,1029.154423351406,-0.004423351405876019
42000,2020-07-01,244.72,46.5,2020,291.225865573967,-0.005865573966957527
42008,2020-07-01,243.08,46.18,2020,289.2658697375357,-0.005869737535704189
42009,2020-07-01,383.16,72.8,2020,455.96554373806975,-0.005543738069775372
42014,2020-07-01,99.92,18.98,2020,118.90620268431294,-0.0062026843129388
41597,2020-07-02,640.6,121.71,2020,762.3149451304101,-0.004945130410192178
41598,2020-07-02,95.62,18.17,2020,113.79621239428005,-0.006212394280041167
41599,2020-07-02,696.49,132.33,2020,828.8248151032963,-0.0048151032962096
41620,2020-07-03,99.59,18.92,2020,118.5162033395771,-0.006203339577098177
41629,2020-07-03,443.79,84.32,2020,528.1154027115471,-0.005402711547048966
41660,2020-07-06,75.63,14.37,2020,90.00625896627815,-0.006258966278153366
41672,2020-07-07,149.69,28.44,2020,178.13608677476373,-0.006086774763730318
41705,2020-07-08,224.3,42.62,2020,266.9259130753862,-0.005913075386160926
41735,2020-07-09,2027.3,385.19,2020,2412.4917196343154,-0.001719634315577423
41737,2020-07-09,498.63,94.74,2020,593.3752751473248,-0.0052751473248235925
41796,2020-07-12,16.94,3.22,2020,20.16639542251749,-0.0063954225174889245
41797,2020-07-12,416.0,79.04,2020,495.0454673417363,-0.005467341736277831
41798,2020-07-12,138.79,26.37,2020,165.1661120845512,-0.006112084551205044
41800,2020-07-12,108.88,20.69,2020,129.57618152905258,-0.006181529052582846
41803,2020-07-13,216.13,41.06,2020,257.1959323974117,-0.005932397411697821
41812,2020-07-13,43.95,8.35,2020,52.30633268129857,-0.0063326812985735614
41833,2020-07-14,78.11,14.84,2020,92.95625324815234,-0.006253248152333413
41868,2020-07-15,131.19,24.93,2020,156.1261295944285,-0.006129594428500695
41869,2020-07-15,23.99,4.56,2020,28.55637900474712,-0.006379004747120831
41879,2020-07-15,215.23,40.89,2020,256.12593444906787,-0.005934449067865444
41918,2020-07-17,1638.39,311.29,2020,1949.6826244614863,-0.0026244614862207527
41919,2020-07-17,1638.33,311.28,2020,1949.612624542829,-0.0026245428291531425
41920,2020-07-17,777.96,147.81,2020,925.7746255901978,-0.004625590197861129
42024,2020-07-22,159.99,30.4,2020,190.39606269416163,-0.006062694161641957
42027,2020-07-22,36.81,6.99,2020,43.806349428961425,-0.006349428961428316
42059,2020-07-23,142.9,27.15,2020,170.0561025628773,-0.006102562877288165
42098,2020-07-24,233.7,44.4,2020,278.1058914621965,-0.005891462196473185
42165,2020-07-27,69.16,13.14,2020,82.30627404339202,-0.006274043392025419
42174,2020-07-27,7.35,1.4,2020,8.756417639756583,-0.006417639756582716
42175,2020-07-27,86.92,16.52,2020,103.44623250412738,-0.006232504127382299
42371,2020-07-28,100.21,19.04,2020,119.25620180610657,-0.006201806106574281
42211,2020-07-29,601.32,114.25,2020,715.5750363553079,-0.005036355307879603
42215,2020-07-29,375.77,71.4,2020,447.1755607553686,-0.005560755368605896
42219,2020-07-29,848.39,161.19,2020,1009.5844618538578,-0.004461853857719689
42273,2020-07-30,313.76,59.61,2020,373.3757053158033,-0.0057053158033113505
42275,2020-07-30,91.13,17.31,2020,108.44622312405278,-0.006223124052780804
42280,2020-07-31,105.88,20.12,2020,126.00618850649197,-0.00618850649196645
42288,2020-07-31,836.15,158.87,2020,995.0244900889869,-0.004490088986926821
42320,2020-08-03,51.64,9.81,2020,61.456314841528794,-0.0063148415287912485
42326,2020-08-03,316.37,60.11,2020,376.48569907497097,-0.005699074970948459
42353,2020-08-04,370.96,70.48,2020,441.44557219614103,-0.005572196141031327
42375,2020-08-05,87.95,16.71,2020,104.66623034552092,-0.006230345520918945
42394,2020-08-06,33.25,6.32,2020,39.57635744277218,-0.006357442772177535
42411,2020-08-07,292.34,55.54,2020,347.8857551430356,-0.005755143035628407
42426,2020-08-08,579.72,110.15,2020,689.8750864265688,-0.005086426568823299
42805,2020-08-08,215.31,40.91,2020,256.22593406343987,-0.005934063439838155
42842,2020-08-08,19.41,3.69,2020,23.106389648656126,-0.006389648656124791
42468,2020-08-11,87.13,16.55,2020,103.68623242730528,-0.006232427305278065
42475,2020-08-11,467.69,88.86,2020,556.5553471661889,-0.005347166188926167
42481,2020-08-11,472.64,89.8,2020,562.4453356742017,-0.0053356742016603675
42511,2020-08-11,829.02,157.51,2020,986.5345068923853,-0.004506892385279571
